Comment,Designator,Footprint,LCSC,Quantity
100R,R5,R_0603_1608Metric,C22775,1
100k,"R6,R7,R8",R_0603_1608Metric,C25803,3
100nF,"C10,C8",C_0603_1608Metric,C14663,2
100pF,C1,C_0603_1608Metric,C14858,1
1M,"R2,R4",R_0603_1608Metric,C22935,2
1k,R1,R_0603_1608Metric,C21190,1
1nF,C3,C_0603_1608Metric,C1588,1
1u,"C2,C5,C6",C_0603_1608Metric,C15849,3
2n2,C4,C_0603_1608Metric,C1604,1
3k3,R3,R_0603_1608Metric,C22978,1
AMS1117-5.0,U1,SOT-223-3_TabPin2,C6187,1
SS14,D1,D_SMA,C2480,1
TL072,U2,SOIC-8_3.9x4.9mm_P1.27mm,C6961,1
