Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100pF,C_0603_1608Metric,161.821328,-93.630871,0.0,top
C10,100nF,C_0603_1608Metric,194.505052,-92.063741,90.0,top
C2,1u,C_0603_1608Metric,161.825793,-92.051577,0.0,top
C3,1nF,C_0603_1608Metric,167.109978,-95.227123,0.0,top
C4,2n2,C_0603_1608Metric,171.000447,-96.613126,0.0,top
C5,1u,C_0603_1608Metric,171.009971,-95.004097,0.0,top
C6,1u,C_0603_1608Metric,178.0,-90.0,90.0,top
C8,100nF,C_0603_1608Metric,185.509442,-92.079635,-90.0,top
D1,SS14,D_SMA,184.5,-82.5,180.0,top
R1,1k,R_0603_1608Metric,164.904373,-92.051577,0.0,top
R2,1M,R_0603_1608Metric,164.906077,-93.622814,180.0,top
R3,3k3,R_0603_1608Metric,171.005128,-87.81773,180.0,top
R4,1M,R_0603_1608Metric,175.623831,-93.595573,0.0,top
R5,100R,R_0603_1608Metric,175.629298,-91.71184,0.0,top
R6,100k,R_0603_1608Metric,177.23245,-87.525354,0.0,top
R7,100k,R_0603_1608Metric,187.118211,-95.194012,-90.0,top
R8,100k,R_0603_1608Metric,188.74373,-95.194012,-90.0,top
U1,AMS1117-5.0,SOT-223-3_TabPin2,190.0,-89.15,-90.0,top
U2,TL072,SOIC-8_3.9x4.9mm_P1.27mm,170.282672,-91.42331,0.0,top
