Reference,X_mm_from_left,Y_mm_from_top,Rotation_deg
C101,63,14,90
C102,66,14,90
C103,40,14,90
C104,43,14,90
C201,34,24,90
C202,14,23,0
C203,14,32,0
C301,29,46,90
C302,29,49,90
C303,39,47,90
C401,40.5,23,0
C402,40.5,35,0
C403,66,41,0
C404,50,27,0
C405,63,27,0
C501,65,22,0
C502,48,45.5,90
C503,70,27,0
C601,59.5,44,0
C602,59.5,55,0
C603,68,45,90
C604,72,44.5,180
C605,76,45,0
C606,72,52,180
C607,76,48.5,270
D201,21,31,90
D202,10,27,90
D203,10,23,0
D204,10,32,0
D301,10,43,0
D302,10,51,0
D303,29,42,0
D304,29,53,0
D305,34,41,0
D306,34,53,0
D501,84,24,90
D502,82,34,90
D601,83,46,0
D602,83,54,0
FB101,59,14,0
FB102,37,14,0
FB201,18,24,0
FB202,18,29,0
H1,4,4,0
H2,86,4,0
H3,4,60,0
H4,86,60,0
J101,25,7,90
J102,8,13,90
J202,6,26,0
J302,6,45,0
J502,87,40,0
J503,87,27,0
J602,87,47,0
JP301,15,45,0
K501,76,18,0
Q501,78,35,0
R101,10,37,90
R201,21,22,90
R202,34.5,28,90
R203,33.5,33,0
R301,22,41,0
R302,24,46,0
R303,23,51,90
R304,25,54,0
R305,39,44,0
R306,39,41,0
R307,39,51,90
R401,47,24,90
R402,54.5,36.5,90
R403,54,27,0
R404,54.5,34,0
R405,59,38,0
R406,63,38,0
R501,58,22,90
R502,72.5,20,90
R503,72,35,0
R504,76,38,0
R505,79,40.5,0
R506,80,43,90
R601,66,44,90
R602,70,42,0
R603,77,42,0
R604,77,54,0
TP101,59,18,0
TP102,39,17,0
TP103,46,14,0
TP201,33,37,0
TP301,27,58,0
TP401,53,39,0
TP402,62,35,0
TP501,88,35,0
TP601,79,58,0
U201,24,25,0
U301,34,47,0
U401,49,31,0
U402,60,31,0
U501,69,31,0
U601,72,48,0
